,project_id,tool_id,count
0,1,1,28
1,1,7,35
2,1,13,20
3,1,19,30
4,1,25,36
5,1,31,14
6,1,37,8
7,1,43,31
8,1,49,32
9,1,55,22
10,1,61,36
11,1,67,35
12,1,73,20
13,1,79,16
14,1,85,39
15,1,91,29
16,1,97,36
17,1,103,6
18,1,109,36
19,1,115,36
20,1,121,31
21,1,127,8
22,1,133,12
23,1,139,19
24,1,145,22
25,1,151,6
26,1,157,22
27,1,163,6
28,1,169,20
29,1,175,32
30,1,181,30
31,1,187,8
32,1,193,27
33,1,199,39
34,1,205,14
35,1,211,26
36,1,217,31
37,1,223,30
38,1,229,22
39,1,235,32
40,1,241,29
41,1,247,7
42,1,253,6
43,1,259,28
44,1,265,10
45,1,271,26
46,1,277,26
47,2,2,6
48,2,8,38
49,2,14,26
50,2,20,8
51,2,26,27
52,2,32,21
53,2,38,21
54,2,44,16
55,2,50,30
56,2,56,7
57,2,62,22
58,2,68,29
59,2,74,37
60,2,80,14
61,2,86,39
62,2,92,13
63,2,98,30
64,2,104,7
65,2,110,7
66,2,116,10
67,2,122,33
68,2,128,13
69,2,134,5
70,2,140,33
71,2,146,14
72,2,152,35
73,2,158,13
74,2,164,19
75,2,170,27
76,2,176,24
77,2,182,22
78,2,188,29
79,2,194,27
80,2,200,17
81,2,206,13
82,2,212,22
83,2,218,31
84,2,224,13
85,2,230,11
86,2,236,31
87,2,242,39
88,2,248,31
89,2,254,6
90,2,260,27
91,2,266,28
92,2,272,8
93,2,278,36
94,3,3,31
95,3,9,37
96,3,15,9
97,3,21,16
98,3,27,16
99,3,33,24
100,3,39,15
101,3,45,36
102,3,51,12
103,3,57,16
104,3,63,5
105,3,69,5
106,3,75,30
107,3,81,12
108,3,87,38
109,3,93,34
110,3,99,17
111,3,105,16
112,3,111,15
113,3,117,22
114,3,123,32
115,3,129,39
116,3,135,37
117,3,141,15
118,3,147,24
119,3,153,5
120,3,159,15
121,3,165,23
122,3,171,34
123,3,177,28
124,3,183,26
125,3,189,21
126,3,195,29
127,3,201,39
128,3,207,24
129,3,213,17
130,3,219,7
131,3,225,23
132,3,231,6
133,3,237,23
134,3,243,28
135,3,249,22
136,3,255,31
137,3,261,25
138,3,267,26
139,3,273,25
140,3,279,22
141,4,4,36
142,4,10,9
143,4,16,31
144,4,22,29
145,4,28,35
146,4,34,12
147,4,40,25
148,4,46,29
149,4,52,7
150,4,58,22
151,4,64,22
152,4,70,30
153,4,76,37
154,4,82,32
155,4,88,29
156,4,94,13
157,4,100,37
158,4,106,35
159,4,112,8
160,4,118,39
161,4,124,32
162,4,130,37
163,4,136,24
164,4,142,21
165,4,148,29
166,4,154,37
167,4,160,8
168,4,166,15
169,4,172,20
170,4,178,37
171,4,184,29
172,4,190,11
173,4,196,8
174,4,202,20
175,4,208,38
176,4,214,36
177,4,220,38
178,4,226,28
179,4,232,21
180,4,238,31
181,4,244,12
182,4,250,15
183,4,256,15
184,4,262,24
185,4,268,30
186,4,274,19
187,4,280,34
188,5,5,21
189,5,11,20
190,5,17,11
191,5,23,18
192,5,29,15
193,5,35,29
194,5,41,19
195,5,47,6
196,5,53,24
197,5,59,32
198,5,65,36
199,5,71,18
200,5,77,5
201,5,83,16
202,5,89,18
203,5,95,37
204,5,101,37
205,5,107,5
206,5,113,21
207,5,119,33
208,5,125,7
209,5,131,39
210,5,137,5
211,5,143,25
212,5,149,21
213,5,155,31
214,5,161,9
215,5,167,39
216,5,173,37
217,5,179,32
218,5,185,25
219,5,191,29
220,5,197,11
221,5,203,18
222,5,209,8
223,5,215,9
224,5,221,32
225,5,227,13
226,5,233,16
227,5,239,7
228,5,245,33
229,5,251,6
230,5,257,26
231,5,263,6
232,5,269,16
233,5,275,17
234,6,6,22
235,6,12,9
236,6,18,13
237,6,24,27
238,6,30,5
239,6,36,19
240,6,42,10
241,6,48,32
242,6,54,29
243,6,60,26
244,6,66,35
245,6,72,39
246,6,78,34
247,6,84,20
248,6,90,37
249,6,96,21
250,6,102,26
251,6,108,36
252,6,114,34
253,6,120,17
254,6,126,6
255,6,132,31
256,6,138,26
257,6,144,39
258,6,150,16
259,6,156,23
260,6,162,26
261,6,168,30
262,6,174,29
263,6,180,37
264,6,186,33
265,6,192,18
266,6,198,24
267,6,204,8
268,6,210,11
269,6,216,26
270,6,222,36
271,6,228,16
272,6,234,35
273,6,240,9
274,6,246,33
275,6,252,22
276,6,258,27
277,6,264,27
278,6,270,23
279,6,276,8
